NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
HTR7	1	ENSG00000148680	
BBX	1	ENSG00000114439	
EXOC3-AS1	1	ENSG00000221990	
WDR83OS	1	ENSG00000105583	
GSTK1	1	ENSG00000197448	
DHDH	1	ENSG00000104808	
INSYN1	1	ENSG00000205363	
BCR	1	ENSG00000186716	
ORAI3	1	ENSG00000175938	
ORAI2	1	ENSG00000160991	
VOPP1	1	ENSG00000154978	
ORAI1	1	ENSG00000276045	
COL13A1	1	ENSG00000197467	
SHMT2	1	ENSG00000182199	
SHMT1	1	ENSG00000176974	
B3GLCT	1	ENSG00000187676	
FAM187B2P	1	ENSG00000262497	
RDH11	1	ENSG00000072042	
RDH10	1	ENSG00000121039	
RDH16	1	ENSG00000139547	
SNORA63B	1	ENSG00000200418	
RDH14	1	ENSG00000240857	
RDH13	1	ENSG00000160439	
GTF2IRD2B	1	ENSG00000174428	
GSTM4	1	ENSG00000168765	
GSTM3	1	ENSG00000134202	
GSTM2	1	ENSG00000213366	
GSTM1	1	ENSG00000134184	
MYOM3-AS1	1	ENSG00000230703	
TMEM254-AS1	1	ENSG00000230091	
SPAG5-AS1	1	ENSG00000227543	
DHFR	1	ENSG00000228716	
PKIB	1	ENSG00000135549	
DCLRE1CP1	1	ENSG00000237470	
STRC	1	ENSG00000242866	
PKIA	1	ENSG00000171033	
STRN	1	ENSG00000115808	
L1TD1	1	ENSG00000240563	
PKIG	1	ENSG00000168734	
GSTM5	1	ENSG00000134201	
GTF2H2C	1	ENSG00000183474	
KCNC1	1	ENSG00000129159	
KCNC3	1	ENSG00000131398	
KCNC4	1	ENSG00000116396	
BBC3	1	ENSG00000105327	
NPAP1	1	ENSG00000185823	
GLT1D1	1	ENSG00000151948	
NEFL	1	ENSG00000277586	
NEFM	1	ENSG00000104722	
NEFH	1	ENSG00000100285	
STUM	1	ENSG00000203685	
MYBPC3	1	ENSG00000134571	
MYBPC2	1	ENSG00000086967	
KCND1	1	ENSG00000102057	
GSTO2	1	ENSG00000065621	
GSTO1	1	ENSG00000148834	
RPL3P3	1	ENSG00000243388	
RPL3P4	1	ENSG00000232573	
TMEFF1	1	ENSG00000241697	
RPL3P6	1	ENSG00000213891	
RPL3P7	1	ENSG00000225093	
EIF1B-AS1	1	ENSG00000280739	
FAM3C2	1	ENSG00000174028	
GTF2H2B	1	ENSG00000226259	
RPL3P2	1	ENSG00000227939	
RPS7P11	1	ENSG00000213326	
PKN3	1	ENSG00000160447	
GSTP1	1	ENSG00000084207	
SYNPO2	1	ENSG00000172403	
PTAFR	1	ENSG00000169403	
KCNA2	1	ENSG00000177301	
ADAM22	1	ENSG00000008277	
KCNA3	1	ENSG00000177272	
ADAM21	1	ENSG00000139985	
KCNA6	1	ENSG00000151079	
KCNA7	1	ENSG00000104848	
SDAD1	1	ENSG00000198301	
PAXBP1-AS1	1	ENSG00000238197	
ADAM29	1	ENSG00000168594	
ADAM28	1	ENSG00000042980	
BORCS7-ASMT	1	ENSG00000270316	
ADAM23	1	ENSG00000114948	
STX6	1	ENSG00000135823	
STX5	1	ENSG00000162236	
STX4	1	ENSG00000103496	
STX3	1	ENSG00000166900	
BID	1	ENSG00000015475	
STX2	1	ENSG00000111450	
RN7SL690P	1	ENSG00000264879	
MBD3	1	ENSG00000071655	
MBD4	1	ENSG00000129071	
MBD5	1	ENSG00000204406	
MBD6	1	ENSG00000166987	
BIK	1	ENSG00000100290	
KCNB1	1	ENSG00000158445	
MBD1	1	ENSG00000141644	
MBD2	1	ENSG00000134046	
KIAA2012	1	ENSG00000182329	
ADAM32	1	ENSG00000197140	
KIAA2013	1	ENSG00000116685	
MAP2K4P1	1	ENSG00000269904	
PKN2	1	ENSG00000065243	
MITD1	1	ENSG00000158411	
ADAM3A	1	ENSG00000197475	
PKN1	1	ENSG00000123143	
KCNG1	1	ENSG00000026559	
KCNG3	1	ENSG00000171126	
KCNG4	1	ENSG00000168418	
RASL11B	1	ENSG00000128045	
FBXO27	1	ENSG00000161243	
RASL11A	1	ENSG00000122035	
FBXO28	1	ENSG00000143756	
FBXO25	1	ENSG00000147364	
GOLIM4	1	ENSG00000173905	
